id,date,ASNumber,UUID,TestTime,CongestionControl,MeanThroughputMbps,MinRTT,LossRate,ClientIP,StartTime,EndTime,DownloadUUID,duration
ndt-virtual-6bjzx_1713211200_0000000000063FBE,2024-04-19,174.0,ndt-virtual-6bjzx_1713211200_0000000000063FBE,2024-04-19 16:52:36.815100 UTC,bbr,10.112482868728542,120.242,0.0,191.101.157.225,2024-04-19 16:52:36.815065 UTC,2024-04-19 16:52:51.815896 UTC,ndt-virtual-6bjzx_1713211200_0000000000063FBE,0 days 00:00:15.000831
ndt-virtual-6bjzx_1713211200_000000000005C9E5,2024-04-19,63394.0,ndt-virtual-6bjzx_1713211200_000000000005C9E5,2024-04-19 11:48:30.346372 UTC,bbr,19.197475258816983,31.42,0.0002714365732443,104.237.125.10,2024-04-19 11:48:30.346333 UTC,2024-04-19 11:48:45.346393 UTC,ndt-virtual-6bjzx_1713211200_000000000005C9E5,0 days 00:00:15.000060
ndt-virtual-xw72t_1713221820_0000000000015D19,2024-04-19,44477.0,ndt-virtual-xw72t_1713221820_0000000000015D19,2024-04-19 15:42:09.282887 UTC,bbr,13.859321756328615,172.429,0.0036537077937522,45.14.246.18,2024-04-19 15:42:09.282584 UTC,2024-04-19 15:42:24.282917 UTC,ndt-virtual-xw72t_1713221820_0000000000015D19,0 days 00:00:15.000333
ndt-virtual-q4hxb_1713212801_0000000000029F96,2024-04-19,205800.0,ndt-virtual-q4hxb_1713212801_0000000000029F96,2024-04-19 20:48:12.222975 UTC,bbr,0.5002490132992966,154.32,0.1428807547238029,185.206.124.24,2024-04-19 20:48:12.222943 UTC,2024-04-19 20:48:27.223098 UTC,ndt-virtual-q4hxb_1713212801_0000000000029F96,0 days 00:00:15.000155
ndt-virtual-q4hxb_1713212801_0000000000023B5B,2024-04-19,201120.0,ndt-virtual-q4hxb_1713212801_0000000000023B5B,2024-04-19 01:57:11.256698 UTC,bbr,1.7570739242769484,84.238,0.2935208157224967,141.11.243.71,2024-04-19 01:57:11.256666 UTC,2024-04-19 01:57:26.256902 UTC,ndt-virtual-q4hxb_1713212801_0000000000023B5B,0 days 00:00:15.000236
ndt-virtual-m67m4_1713216230_000000000003ECB4,2024-04-19,7029.0,ndt-virtual-m67m4_1713216230_000000000003ECB4,2024-04-19 19:11:12.049228 UTC,bbr,1.8453665978932396,69.385,0.1976492408455367,173.184.42.167,2024-04-19 19:11:12.049188 UTC,2024-04-19 19:11:27.049193 UTC,ndt-virtual-m67m4_1713216230_000000000003ECB4,0 days 00:00:15.000005
ndt-virtual-nm5df_1713209567_0000000000052159,2024-04-19,31898.0,ndt-virtual-nm5df_1713209567_0000000000052159,2024-04-19 10:55:26.960695 UTC,bbr,4.531771819735539,274.366,0.0551743207611915,129.146.23.157,2024-04-19 10:55:26.960649 UTC,2024-04-19 10:55:41.961727 UTC,ndt-virtual-nm5df_1713209567_0000000000052159,0 days 00:00:15.001078
ndt-virtual-l6f2q_1713222417_00000000000D6CA1,2024-04-19,138089.0,ndt-virtual-l6f2q_1713222417_00000000000D6CA1,2024-04-19 14:09:21.959329 UTC,bbr,0.6512438272511083,28.039,0.2025506086679775,103.124.138.235,2024-04-19 14:09:21.959294 UTC,2024-04-19 14:09:36.959412 UTC,ndt-virtual-l6f2q_1713222417_00000000000D6CA1,0 days 00:00:15.000118
ndt-virtual-l6f2q_1713222417_00000000000CE20C,2024-04-19,64029.0,ndt-virtual-l6f2q_1713222417_00000000000CE20C,2024-04-19 11:01:57.761305 UTC,bbr,0.755952140077403,7.438,0.0302911022595544,103.214.184.114,2024-04-19 11:01:57.761272 UTC,2024-04-19 11:02:12.761806 UTC,ndt-virtual-l6f2q_1713222417_00000000000CE20C,0 days 00:00:15.000534
ndt-virtual-d7g87_1713220163_000000000003A835,2024-04-19,139364.0,ndt-virtual-d7g87_1713220163_000000000003A835,2024-04-19 00:33:50.965412 UTC,bbr,7.899722158944459,17.1,0.0991091683680162,103.169.200.47,2024-04-19 00:33:50.965372 UTC,2024-04-19 00:34:05.965534 UTC,ndt-virtual-d7g87_1713220163_000000000003A835,0 days 00:00:15.000162
ndt-virtual-q4hxb_1713212801_0000000000029825,2024-04-19,37069.0,ndt-virtual-q4hxb_1713212801_0000000000029825,2024-04-19 17:12:46.651537 UTC,bbr,8.184344441476926,74.088,0.0,154.133.104.24,2024-04-19 17:12:46.651497 UTC,2024-04-19 17:13:01.652181 UTC,ndt-virtual-q4hxb_1713212801_0000000000029825,0 days 00:00:15.000684
ndt-virtual-l6f2q_1713222417_00000000000CCBF0,2024-04-19,45305.0,ndt-virtual-l6f2q_1713222417_00000000000CCBF0,2024-04-19 11:41:12.961000 UTC,bbr,1.3024158478862582,17.199,0.1622190553767849,103.87.148.25,2024-04-19 11:41:12.960963 UTC,2024-04-19 11:41:27.960979 UTC,ndt-virtual-l6f2q_1713222417_00000000000CCBF0,0 days 00:00:15.000016
