id,date,ASNumber,UUID,TestTime,CongestionControl,MeanThroughputMbps,MinRTT,LossRate,ClientIP,StartTime,EndTime,DownloadUUID,duration,ArchiveURL,Filename,processed
ndt-5kc2b_1666989457_000000000000407A,2022-10-29,393591.0,ndt-5kc2b_1666989457_000000000000407A,2022-10-29 04:12:47.046307 UTC,bbr,0.0,0.0,0.0,209.206.34.200,2022-10-29 04:12:47.046271 UTC,2022-10-29 04:13:02.046588 UTC,ndt-5kc2b_1666989457_000000000000407A,0 days 00:00:15.000317,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T041424.435087Z-pcap-mlab3-iad06-ndt.tgz,2022/10/29/ndt-5kc2b_1666989457_000000000000407A.pcap.gz,True
ndt-6v42k_1665278796_00000000000E0D05,2022-10-29,16814.0,ndt-6v42k_1665278796_00000000000E0D05,2022-10-29 15:12:57.375705 UTC,bbr,0.0,0.0,0.0,190.210.81.129,2022-10-29 15:12:57.375652 UTC,2022-10-29 15:13:12.376128 UTC,ndt-6v42k_1665278796_00000000000E0D05,0 days 00:00:15.000476,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T160653.648677Z-pcap-mlab1-eze04-ndt.tgz,2022/10/29/ndt-6v42k_1665278796_00000000000E0D05.pcap.gz,True
ndt-virtual-ct5v4_1665604234_00000000000D107C,2022-10-29,135256.0,ndt-virtual-ct5v4_1665604234_00000000000D107C,2022-10-29 06:06:38.203416 UTC,bbr,0.1830317512871819,635.39,0.2054292002934702,45.248.191.226,2022-10-29 06:06:38.203381 UTC,2022-10-29 06:06:53.203641 UTC,ndt-virtual-ct5v4_1665604234_00000000000D107C,0 days 00:00:15.000260,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T060805.968833Z-pcap-mlab2-bom03-ndt.tgz,2022/10/29/ndt-virtual-ct5v4_1665604234_00000000000D107C.pcap.gz,True
ndt-virtual-xqjxv_1662669043_000000000010AE4C,2022-10-29,54936.0,ndt-virtual-xqjxv_1662669043_000000000010AE4C,2022-10-29 00:36:01.950051 UTC,bbr,0.6680421659965026,128.08,0.0558519223719558,97.107.200.87,2022-10-29 00:36:01.950002 UTC,2022-10-29 00:36:16.950019 UTC,ndt-virtual-xqjxv_1662669043_000000000010AE4C,0 days 00:00:15.000017,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T004221.764630Z-pcap-mlab1-las01-ndt.tgz,2022/10/29/ndt-virtual-xqjxv_1662669043_000000000010AE4C.pcap.gz,True
ndt-virtual-tw5j8_1662675154_00000000002007DE,2022-10-29,132556.0,ndt-virtual-tw5j8_1662675154_00000000002007DE,2022-10-29 07:04:29.086090 UTC,bbr,0.2670825562048895,33.393,0.01690855770343,45.125.118.66,2022-10-29 07:04:29.086064 UTC,2022-10-29 07:04:44.086257 UTC,ndt-virtual-tw5j8_1662675154_00000000002007DE,0 days 00:00:15.000193,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T070743.624509Z-pcap-mlab1-bom03-ndt.tgz,2022/10/29/ndt-virtual-tw5j8_1662675154_00000000002007DE.pcap.gz,True
ndt-virtual-lqh6f_1664956878_0000000000122460,2022-10-29,138089.0,ndt-virtual-lqh6f_1664956878_0000000000122460,2022-10-29 10:31:20.200007 UTC,bbr,0.7340411612716782,24.015,0.1837794977829012,103.102.14.33,2022-10-29 10:31:20.199923 UTC,2022-10-29 10:31:35.200877 UTC,ndt-virtual-lqh6f_1664956878_0000000000122460,0 days 00:00:15.000954,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T103620.054905Z-pcap-mlab1-cgk01-ndt.tgz,2022/10/29/ndt-virtual-lqh6f_1664956878_0000000000122460.pcap.gz,True
ndt-virtual-d25lt_1662669645_00000000000D4B81,2022-10-29,36903.0,ndt-virtual-d25lt_1662669645_00000000000D4B81,2022-10-29 17:53:13.338817 UTC,bbr,0.6298954363960437,91.088,0.1429602761364301,105.157.92.97,2022-10-29 17:53:13.338773 UTC,2022-10-29 17:53:28.338558 UTC,ndt-virtual-d25lt_1662669645_00000000000D4B81,0 days 00:00:14.999785,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T184911.773443Z-pcap-mlab1-mad07-ndt.tgz,2022/10/29/ndt-virtual-d25lt_1662669645_00000000000D4B81.pcap.gz,True
ndt-virtual-ct5v4_1665604234_00000000000CFE90,2022-10-29,45769.0,ndt-virtual-ct5v4_1665604234_00000000000CFE90,2022-10-29 07:39:09.389662 UTC,bbr,0.9876506251698508,3.419,0.001125834380807,1.186.122.144,2022-10-29 07:39:09.389623 UTC,2022-10-29 07:39:24.390128 UTC,ndt-virtual-ct5v4_1665604234_00000000000CFE90,0 days 00:00:15.000505,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T074028.978952Z-pcap-mlab2-bom03-ndt.tgz,2022/10/29/ndt-virtual-ct5v4_1665604234_00000000000CFE90.pcap.gz,True
ndt-virtual-tw5j8_1662675154_0000000000207068,2022-10-29,24554.0,ndt-virtual-tw5j8_1662675154_0000000000207068,2022-10-29 09:56:00.698580 UTC,bbr,20.783925337765226,8.836,0.1166274822966664,103.203.62.221,2022-10-29 09:56:00.698538 UTC,2022-10-29 09:56:15.699607 UTC,ndt-virtual-tw5j8_1662675154_0000000000207068,0 days 00:00:15.001069,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T095755.270148Z-pcap-mlab1-bom03-ndt.tgz,2022/10/29/ndt-virtual-tw5j8_1662675154_0000000000207068.pcap.gz,True
ndt-virtual-lqh6f_1664956878_0000000000121223,2022-10-29,141939.0,ndt-virtual-lqh6f_1664956878_0000000000121223,2022-10-29 06:26:12.173377 UTC,bbr,1.8313024843433157,34.0,0.2210637173100785,103.164.192.74,2022-10-29 06:26:12.173324 UTC,2022-10-29 06:26:27.173514 UTC,ndt-virtual-lqh6f_1664956878_0000000000121223,0 days 00:00:15.000190,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T063316.169759Z-pcap-mlab1-cgk01-ndt.tgz,2022/10/29/ndt-virtual-lqh6f_1664956878_0000000000121223.pcap.gz,True
